Site,Function,Area,WaterCover,TreeCover,ShrubArea,BroadLeavedWoodlandArea,ConiferWoodlandArea,AvgContour,Polygon
Failsworth Sports Centre,Other Sports Facility,29244.0,0.0,0.0,0.0,0.0,0.0,100.0,"MULTIPOLYGON (((390220.91 401186.65, 390227.38 401193.95, 390274.79 401210.27, 390299.56 401152.34, 390303.7 401151.55, 390306.92 401141.12, 390311.83 401142.55, 390322.39 401103.49, 390310.27 401091.4, 390321.82 401065.05, 390387.77 401099.23, 390396.21 401097.54, 390422.9 401111.41, 390433.58 401093.39, 390491.49 401023.27, 390445.39 400986.67, 390355.17 400938.04, 390201.15 401182.05, 390216.48 401189.3, 390220.91 401186.65), (390318.65 401057.03, 390311.84 401051.91, 390311.13 401047.51, 390318.65 401057.03)))"
Millgate Fields,Playing Field,32571.0,0.0,0.0,0.0,0.0,0.0,30.0,"MULTIPOLYGON (((384262.65 390418.02, 384290.08 390418.57, 384352.47 390445.39, 384379.35 390463.16, 384423.65 390457.86, 384471.12 390437.55, 384492.45 390440.2, 384303.95 390210.85, 384306.81 390208.71, 384288.74 390184.7, 384282.77 390165.16, 384246.05 390418.84, 384248.73 390421.64, 384262.65 390418.02)))"
Lower Kersal Playing Fields,Playing Field,73694.0,0.0,0.0,0.0,0.0,0.0,30.0,"MULTIPOLYGON (((381526.6 400548.45, 381527.5 400542.35, 381515.65 400540.1, 381483.23 400528.12, 381484.27 400517.61, 381486.23 400509.72, 381521.58 400501.66, 381524 400500.63, 381562.72 400486.05, 381582.3 400484.61, 381629.96 400487.07, 381631.27 400493.37, 381649.57 400496.28, 381653.35 400471.1, 381620.3 400460.5, 381581.85 400460.3, 381456.35 400489.4, 381441.04 400501.94, 381227.43 400614.64, 381222.5 400619.5, 381227.65 400632, 381212.69 400659.35, 381194.71 400680.28, 381199.85 400686.89, 381477.6 400868.55, 381510.2 400819.4, 381480.95 400799.1, 381500.55 400770.35, 381465.1 400747.1, 381468.82 400741.32, 381519.75 400663.4, 381510.6 400657, 381511.56 400650.37, 381526.6 400548.45)))"
Wardley Cemetery,Cemetery,74662.0,0.0,0.0,0.0,16255.4484075,0.0,70.0,"MULTIPOLYGON (((376026.41 401866.88, 376021.95 401785.6, 376025.55 401735.3, 376000 401750.9, 375873.5 401803.33, 375850.4 401815, 375851.8 401821.4, 375848.7 401822.85, 375859.15 401888.55, 375859.3 401947.75, 375868.2 401966.35, 375866.35 401976.4, 375848.6 402001.5, 375846.78 402009.9, 375858.4 402029.15, 375854.77 402087.09, 375874.6 402140.94, 375868.4 402157.98, 375874.2 402197.09, 375868.22 402236.47, 375863.27 402246.15, 375876.45 402255.8, 375922.36 402250.05, 375988.09 402242.05, 376003.15 402222.2, 376015.4 402101.3, 376023.25 401972.55, 376031.72 401931.23, 376026.41 401866.88)))"
Plant Hill Park,Playing Field,66764.0,0.0,0.0,0.0,0.0,0.0,85.0,"MULTIPOLYGON (((385738.43 403725.84, 385744.8 403720.6, 385716.4 403718.4, 385708.05 403637.1, 385801.1 403571.8, 385765.84 403522.08, 385823.3 403472.43, 385808.42 403448.25, 385781.15 403378, 385777.9 403376.5, 385737.97 403404.25, 385655.55 403459, 385628.95 403471.45, 385623.7 403465.05, 385616.88 403469.83, 385594.44 403491.46, 385570.25 403504.05, 385565.19 403517.19, 385573.76 403539.18, 385567.95 403557.85, 385562.23 403556.82, 385561.22 403564.24, 385553.51 403570.16, 385572.56 403576.22, 385566.43 403595.64, 385574.54 403598.26, 385563.18 403632.43, 385571.26 403638.46, 385556.5 403681, 385575.7 403691.5, 385587.7 403703.85, 385595.5 403720.5, 385597.42 403737.15, 385593.55 403758.9, 385638.1 403793.5, 385627.55 403819.85, 385632.42 403825.78, 385643.86 403829.78, 385675.35 403874, 385680.85 403870.25, 385693.1 403887.55, 385712.45 403871.4, 385714.04 403863.05, 385708.28 403857.71, 385709.4 403850.65, 385694.65 403821.7, 385693.25 403803.25, 385709.9 403768.55, 385709.6 403760.9, 385717.5 403755.9, 385733.62 403730.6, 385738.43 403725.84)))"
Clayton Vale,Nature Reserve,526180.0,11074.840099000001,239777.159888,3503.591975,17634.9126205,15035.197086999999,65.71428571428571,"MULTIPOLYGON (((388317.7461 399143.5956, 388315.5034 399142.945800001, 388314.8521 399142.7958, 388312.7001 399142.146, 388312.4033 399142.096000001, 388310.9521 399141.746099999, 388309.8473 399141.496200001, 388308.9486 399141.2962, 388309.097 399141.5462, 388309.097 399142.296, 388309.1959 399144.3454, 388309.2537 399145.145099999, 388309.4021 399146.104900001, 388310.4492 399150.6536, 388311.0016 399153.252800001, 388311.653 399156.102, 388312.8485 399160.8007, 388313.5988 399164.3496, 388314.3986 399167.898600001, 388315.1983 399171.4976, 388316.0476 399175.396500001, 388316.2537 399176.146299999, 388316.3527 399176.946, 388316.4021 399179.295399999, 388316.3527 399180.445, 388315.3468 399180.8049, 388312.799 399181.6547, 388312.8485 399181.854599999, 388312.4527 399181.9046, 388310.746 399182.454500001, 388305.2466 399183.954, 388300.4479 399185.253699999, 388294.9485 399186.903200001, 388289.853 399188.4527, 388282.3006 399190.702099999, 388276.6527 399192.501599999, 388275.4984 399192.851500001, 388272.5961 399193.701199999, 388269.6197 399194.591, 388266.4041 399195.5507, 388264.6479 399196.090600001, 388262.6526 399196.7004, 388257.9034 399198.15, 388250.6972 399200.3993, 388250.4994 399200.4493, 388245.4039 399201.9989, 388237.398 399204.4482, 388231.948 399206.047700001, 388226.498 399203.748400001, 388222.1034 399201.8989, 388217.247 399199.899499999, 388214.353 399198.6998, 388212.5968 399198, 388205.7534 399195.1008, 388203.3541 399194.1011, 388201.499 399193.351299999, 388196.8487 399191.3519, 388190.3516 399188.7027, 388189.354 399188.252800001, 388183.9535 399187.9529, 388183.6979 399187.9529, 388180.8039 399187.8529, 388175.6012 399187.653000001, 388169.7967 399187.453, 388167.9003 399187.403000001, 388160.8508 399187.153100001, 388158.8473 399187.1031, 388159.5976 399167.8486, 388158.8967 399167.7487, 388152.3996 399166.798900001, 388151.303 399166.649, 388148.3018 399166.1491, 388145.1027 399165.599300001, 388143.396 399165.2994, 388139.4466 399164.5496, 388139.1993 399164.499600001, 388134.648 399163.6998, 388133.1474 399163.449899999, 388131.9024 399163.25, 388129.3464 399162.7501, 388127.1038 399162.3002, 388124.3499 399161.7004, 388122.4041 399161.3005, 388120.1037 399160.750700001, 388119.8976 399160.7007, 388117.4983 399160.150800001, 388114.596 399159.501, 388113.2521 399159.1511, 388112.7986 399159.051200001, 388108.5524 399157.9515, 388105.6006 399157.251700001, 388104.5535 399157.001700001, 388100.2001 399155.8521, 388098.8974 399155.5022, 388095.2036 399154.602399999, 388091.4521 399153.7027, 388090.7513 399153.5527, 388089.2012 399153.752699999, 388085.5487 399154.252499999, 388083.9491 399154.502499999, 388077.048 399155.452199999, 388075.1269 399155.702099999, 388073.651 399155.902100001, 388070.6004 399156.301899999, 388069.2976 399157.5516, 388068.1516 399155.302200001, 388060.2033 399143.1457, 388057.4 399138.797, 388048.7015 399127.6502, 388048.6025 399127.700099999, 388048.314 399127.880100001, 388051.8593 399134.2083, 388049.0725 399136.717599999, 388045.9559 399138.756999999, 388044.076 399139.6767, 388042.6084 399140.1766, 388038.3787 399138.737, 388046.97 399154.8224, 388044.3563 399156.211999999, 388031.7167 399162.6601, 388034.5612 399169.688100001, 388035.4517 399171.747500001, 388036.6967 399174.4967, 388037.8015 399176.7961, 388039.096 399179.295399999, 388035.0971 399180.754899999, 388024.0982 399181.1548, 388020.1983 399181.3048, 388016.7519 399181.4048, 388012.7035 399181.5547, 388010.0486 399182.304500001, 388007.1464 399183.0043, 388003.0981 399184.104, 387999.9979 399185.0537, 387996.1475 399185.9035, 387993.6987 399186.5033, 387992.6516 399186.903200001, 387992.396 399186.953199999, 387989.9966 399187.552999999, 387988.6032 399187.8529, 387988.1498 399188.002900001, 387985.1486 399187.8529, 387973.1025 399187.703, 387972.3522 399187.703, 387957.7007 399187.2531, 387943.849 399186.903200001, 387932.7512 399186.553300001, 387931.7535 399186.553300001, 387930.6982 399186.5033, 387929.1481 399186.453299999, 387926.2541 399186.3533, 387923.7971 399186.1534, 387921.2493 399185.9035, 387919.1963 399173.2971, 387910.5967 399174.696699999, 387901.5519 399176.146299999, 387901.6508 399177.196, 387895.4011 399176.995999999, 387895.7474 399183.6041, 387895.6979 399183.903999999, 387890.7508 399184.853800001, 387888.2031 399185.353599999, 387887.7002 399185.503599999, 387887.1478 399185.603599999, 387886.3975 399185.6535, 387884.699 399185.7535, 387882.7037 399185.9035, 387879.7519 399186.103399999, 387877.4021 399186.2534, 387874.9533 399186.3533, 387870.402 399186.553300001, 387870.1959 399186.553300001, 387865.6529 399186.803200001, 387864.2512 399186.903200001, 387862.5033 399187.053099999, 387859.2959 399187.3531, 387858.2983 399187.403000001, 387856.4019 399187.552999999, 387853.2028 399188.002900001, 387849.4019 399188.6527, 387847.2499 399189.002599999, 387845.0485 399189.352499999, 387843.8035 399189.5024, 387843.35 399189.5024, 387843.0037 399189.602399999, 387838.6173 399190.3322, 387837.0013 399190.6021, 387835.748 399190.802100001, 387834.7999 399191.051999999, 387834.1485 399191.301899999, 387831.8481 399192.3016, 387828.2533 399193.801200001, 387827.404 399194.1511, 387825.4005 399195.0009, 387822.7538 399196.3005, 387821.4511 399196.9003, 387821.0471 399197.100299999, 387820.6513 399197.2502, 387820.0494 399197.350199999, 387819.5465 399197.2502, 387814.5005 399193.5513, 387811.5983 399191.401900001, 387809.1989 399189.6524, 387802.6029 399184.603800001, 387801.3497 399184.204, 387797.1034 399182.7544, 387795.7018 399182.304500001, 387790.5486 399182.304500001, 387778.3459 399182.2545, 387775.6498 399182.2545, 387773.1515 399182.354499999, 387773.2505 399182.0546, 387756.1008 399177.6458, 387752.4977 399176.7961, 387749.4965 399176.0463, 387729.7001 399170.7478, 387726.2536 399169.8981, 387723.4008 399169.1483, 387702.3017 399163.399900001, 387688.6974 399159.551000001, 387687.9966 399159.301100001, 387687.2462 399159.1011, 387684.5006 399158.3014, 387682.3487 399157.751499999, 387671.1519 399153.5527, 387671.3498 399152.603, 387659.9963 399148.8541, 387658.504 399147.204600001, 387658.7018 399146.604699999, 387651.8997 399144.395400001, 387651.8502 399144.495300001, 387642.5498 399139.696699999, 387640.9997 399138.946900001, 387638.6004 399137.747300001, 387632.4001 399134.6481, 387632.6969 399133.8484, 387625.8041 399131.3991, 387625.5485 399132.2488, 387623.6026 399131.099199999, 387623.9324 399130.1094, 387621.9206 399129.389699999, 387621.698 399130.0495, 387614.3929 399125.6907, 387608.2173 399122.0318, 387601.8027 399118.2029, 387602.0995 399117.2731, 387600.0465 399116.5033, 387597.8533 399115.6536, 387595.6024 399114.104, 387582.097 399104.1469, 387581.8496 399104.5967, 387577.9992 399100.697899999, 387576.4491 399099.248299999, 387574.9485 399097.7487, 387573.4479 399096.0492, 387572.0463 399094.3497, 387568.8472 399090.1009, 387567.9979 399089.1512, 387567.8495 399088.9012, 387566.7035 399087.601600001, 387563.1498 399083.1029, 387560.0002 399079.153999999, 387559.5467 399078.6042, 387556.1498 399074.195499999, 387553.701 399071.0963, 387547.6986 399063.3486, 387543.7492 399058.300000001, 387539.7009 399053.1515, 387535.702 399048.152899999, 387532.8492 399044.403999999, 387530.2026 399041.0549, 387527.2508 399037.296, 387524.9999 399034.446799999, 387519.047 399026.698999999, 387517.2496 399024.5996, 387515.0976 399021.850400001, 387511.9975 399017.7016, 387509.6476 399014.8025, 387508.246 399012.903000001, 387506.902 399011.0035, 387504.9974 399008.0044, 387502.1199 399003.2458, 387500.1493 398999.9967, 387499.5969 399003.345699999, 387498.0963 399009.653899999, 387497.7995 399010.8036, 387497.0492 399012.403100001, 387496.6534 399013.852700001, 387495.9526 399016.1021, 387493.8996 399022.7502, 387492.3495 399028.148600001, 387491.2034 399031.897600001, 387489.0515 399038.8456, 387486.0997 399049.2026, 387484.0467 399056.7005, 387483.6015 399058.4, 387483.2964 399060.0995, 387483.148 399061.0492, 387483.0985 399062.048900001, 387483.148 399063.248600001, 387483.2469 399064.3983, 387483.3459 399067.1975, 387483.6015 399069.796700001, 387483.8983 399071.3463, 387484.2034 399072.396, 387484.5497 399073.3957, 387485.3 399075.395099999, 387486.1492 399077.354499999, 387487.254 399079.753900001, 387487.9466 399080.953500001, 387488.598 399081.7533, 387489.2988 399082.5031, 387491.9537 399085.552200001, 387494.2541 399088.251399999, 387496.5462 399090.8007, 387500.0009 399094.3497, 387503.5463 399098.048599999, 387505.0469 399099.4482, 387506.5475 399100.797800001, 387510.7525 399104.8467, 387516.153 399109.645300001, 387524.2002 399116.453400001, 387527.5971 399119.1526, 387532.0989 399122.5516, 387537.1532 399126.250600001, 387540.5007 399128.7498, 387542.0507 399129.749500001, 387543.6008 399130.6993, 387546.4536 399132.648700001, 387548.4984 399133.998299999, 387551.7964 399136.0977, 387555.754 399138.497, 387559.8023 399140.9463, 387566.5963 399144.895199999, 387570.2983 399147.0046, 387575.8472 399150.0537, 387579.4998 399152.053200001, 387582.5999 399153.7027, 387586.4998 399155.802100001, 387590.0535 399157.751499999, 387593.0959 399159.450999999, 387596.3032 399161.3005, 387599.1478 399163, 387601.3492 399164.249700001, 387603.8475 399165.7492, 387606.9476 399167.4987, 387611.8039 399170.447899999, 387616.0996 399173.1971, 387620.2964 399175.9463, 387626.2988 399180.095100001, 387630.2976 399182.7544, 387634.4037 399185.503599999, 387638.5014 399188.3528, 387643.7041 399192.0517, 387648.5522 399195.6007, 387654.3485 399199.999399999, 387658.5534 399203.0986, 387661.3485 399205.297900001, 387664.1024 399207.5473, 387670.3521 399212.5458, 387679.5536 399220.2037, 387682.596 399222.7029, 387686.1002 399225.452199999, 387688.5984 399227.5516, 387691.4512 399229.900900001, 387695.3511 399233.299900001, 387699.0532 399236.6489, 387701.8977 399239.1982, 387705.0473 399242.0474, 387709.3513 399246.1962, 387712.4514 399249.295299999, 387717.1016 399254.054, 387720.0039 399257.453, 387722.7495 399260.702099999, 387724.2006 399262.6515, 387725.5528 399264.6009, 387727.746 399267.949999999, 387729.8485 399271.348999999, 387732.1489 399275.197899999, 387734.746 399279.7466, 387736.4528 399282.945699999, 387738.4481 399287.054500001, 387740.6495 399292.0031, 387741.9522 399295.402100001, 387742.9004 399298.201300001, 387745.646 399307.398700001, 387747.699 399315.1965, 387748.3009 399318.3456, 387749.0512 399322.4044, 387749.851 399327.153000001, 387750.1973 399329.5024, 387750.8981 399333.2513, 387751.6979 399338.4498, 387752.2503 399342.398700001, 387752.8027 399346.1976, 387753.149 399348.696900001, 387753.6025 399351.9959, 387754.1961 399355.7049, 387754.7486 399359.4538, 387755.1526 399362.7029, 387755.4989 399365.202199999, 387755.7462 399366.9517, 387756.3481 399370.9505, 387756.8016 399374.499500001, 387757.2963 399378.148399999, 387757.6014 399380.7477, 387757.8982 399382.747099999, 387758.2032 399385.246400001, 387758.599 399388.2456, 387759.0525 399391.454600001, 387759.3988 399394.1039, 387759.9017 399397.502900001, 387760.0996 399399.002499999, 387760.3964 399400.602, 387760.9489 399403.951099999, 387761.4518 399407.949899999, 387761.996 399412.648600001, 387762.4989 399416.747400001, 387763.1008 399421.495999999, 387763.4471 399424.4452, 387763.9006 399427.5043, 387763.9995 399427.9542, 387764.1974 399428.404100001, 387764.5025 399429.003900001, 387764.6509 399429.253799999, 387764.9972 399429.953600001, 387765.5991 399431.2532, 387765.7969 399431.7031, 387766.102 399432.3029, 387766.201 399432.402899999, 387766.3988 399432.4529, 387767.8994 399432.652799999, 387769.3506 399432.902799999, 387770.8017 399433.2027, 387772.0467 399433.5526, 387773.2505 399433.952500001, 387775.254 399434.7522, 387775.9466 399435.152100001, 387776.598 399435.652000001, 387776.9525 399436.001900001, 387777.2493 399436.3518, 387778.5521 399437.9013, 387779.1539 399438.551200001, 387781.1493 399440.670499999, 387782.452 399450.3478, 387784.4473 399463.154100001, 387789.7983 399482.4486, 387789.9467 399482.998400001, 387790.3013 399486.147500001, 387790.6476 399489.046700001, 387790.9526 399492.795600001, 387791.3484 399496.5546, 387791.7029 399498.2541, 387791.9998 399499.353800001, 387792.4038 399500.003599999, 387793.253 399502.252900001, 387795.2483 399506.0518, 387795.6523 399506.751599999, 387797.7466 399510.000700001, 387799.6017 399512.5, 387802.1 399515.449100001, 387803.3532 399516.798800001, 387806.0493 399519.347999999, 387808.7537 399521.5974, 387809.9492 399522.5471, 387813.7008 399525.146400001, 387815.8527 399526.396, 387817.3038 399527.1458, 387822.3004 399529.3452, 387826.8516 399531.004699999, 387830.7021 399532.1044, 387835.2039 399533.2041, 387840.2993 399534.2038, 387999.9979 399545.7005, 388055.0007 399549.149499999, 388113.7468 399553.348300001, 388158.7483 399556.7973, 388187.0536 399559.0966, 388244.7031 399563.295399999, 388298.3537 399567.3543, 388341.4012 399570.5034, 388417.8988 399575.1021, 388621.7992 399574.0524, 388622.6484 399574.0524, 388625.6991 399573.952400001, 388627.7027 399574.0024, 388628.8487 399574.302300001, 388630.7039 399574.202299999, 388633.0537 399574.2523, 388643.2528 399574.2523, 388652.6027 399574.352299999, 388656.9974 399574.352299999, 388664.4509 399574.4023, 388667.3037 399574.5022, 388672.696 399574.6522, 388674.9963 399574.702199999, 388677.2472 399574.802200001, 388679.9516 399575.0021, 388685.4016 399575.252, 388695.8976 399575.901799999, 388700.3499 399576.3017, 388705.7999 399576.6516, 388717.2028 399577.501399999, 388721.6964 399577.7513, 388724.4502 399578.101199999, 388730.0981 399578.451099999, 388733.7506 399578.751, 388736.6034 399579.001, 388741.2536 399579.400800001, 388746.7531 399579.900699999, 388752.3515 399580.3506, 388757.2491 399580.7005, 388761.6519 399581.0504, 388767.003 399581.450300001, 388774.2504 399582.050100001, 388778.6038 399582.549900001, 388783.3529 399582.9498, 388788.2505 399583.399700001, 388795.4979 399583.999500001, 388800.9973 399584.499399999, 388805.697 399584.8993, 388811.4026 399585.3991, 388815.8962 399585.848999999, 388822.9539 399586.448799999, 388828.5523 399586.8487, 388835.6513 399587.298599999, 388843.2038 399587.8484, 388850.5007 399588.348300001, 388857.2039 399588.848099999, 388864.3524 399589.398, 388870.0497 399589.797900001, 388874.197 399589.947799999, 388877.3466 399590.0978, 388880.8013 399590.1478, 388884.5033 399590.397700001, 388891.1488 399590.897500001, 388895.6506 399591.1975, 388901.0512 399591.6973, 388905.9487 399591.997199999, 388911.5966 399592.3971, 388916.8982 399592.747, 388923.4035 399593.1469, 388929.4966 399593.4968, 388935.7464 399593.946699999, 388941.452 399594.396500001, 388946.0032 399594.6965, 388952.8961 399595.1963, 388959.9539 399595.7961, 388962.3037 399595.046399999, 388963.2024 399595.0963, 388964.9504 399595.146299999, 388964.299 399592.597100001, 388963.3014 399588.3983, 388962.1471 399584.249500001, 388961.5534 399581.8002, 388961.0505 399580.000700001, 388959.7478 399575.252, 388959.4015 399574.0024, 388958.9975 399572.3529, 388958.6512 399570.453400001, 388958.4038 399569.4037, 388958.2472 399568.6039, 388958.1977 399568.304, 388958.0493 399566.9044, 388957.9503 399565.4548, 388957.9009 399562.7456, 388957.9503 399561.245999999, 388958.0493 399559.796399999, 388958.3461 399557.597100001, 388958.4533 399556.497400001, 388958.6017 399555.397700001, 388958.8985 399553.948100001, 388959.3025 399552.498500001, 388959.9539 399550.799000001, 388960.6959 399549.149499999, 388961.6524 399547.449999999, 388962.6995 399545.850400001, 388963.7961 399544.3509, 388964.9999 399542.9013, 388966.451 399541.4517, 388967.9516 399540.052100001, 388970.9528 399537.652799999, 388974.4487 399535.1535, 388977.8539 399532.804199999, 388981.2014 399530.604800001, 388982.0012 399530.104900001, 388984.2026 399528.795299999, 388987.3522 399526.945900001, 388990.7492 399524.996400001, 388992.2003 399524.196599999, 388994.1461 399523.196900001, 389000.0001 399520.3477, 389001.946 399519.548, 389005.5985 399517.5485, 389009.0532 399515.7491, 389013.7529 399513.149800001, 389017.4467 399511.350299999, 389018.601 399510.750499999, 389020.654 399509.6008, 389021.2477 399509.300899999, 389023.952 399507.8013, 389025.7495 399506.9016, 389027.7035 399505.901900001, 389030.5976 399504.552300001, 389034.2501 399502.752800001, 389037.2513 399501.203199999, 389039.6506 399500.003599999, 389044.6966 399497.404300001, 389054.7473 399492.4957, 389060.4035 399489.646500001, 389060.8487 399489.446599999, 389062.8522 399488.4969, 389065.4989 399487.247199999, 389068.2033 399486.0975, 389070.7015 399485.047800001, 389073.4966 399483.9482, 389077.446 399482.248600001, 389081.552 399480.4991, 389084.949 399479.149499999, 389086.6475 399478.399700001, 389088.346 399477.550000001, 389088.7995 399477.300100001, 389090.4485 399476.2004, 389091.9985 399475.000700001, 389093.4497 399473.551100001, 389094.4473 399472.251499999, 389094.604 399472.0516, 389095.2471 399470.8519, 389095.849 399469.552300001, 389095.8984 399469.452299999, 389096.4014 399467.9527, 389096.7477 399466.5032, 389096.7972 399466.2532, 389096.9538 399464.7037, 389097.0033 399463.1041, 389097.0033 399461.454600001, 389096.8961 399459.7951, 389096.6487 399457.195800001, 389096.4014 399455.146400001, 389096.2035 399454.8465, 389094.604 399452.147299999, 389093.3013 399450.4977, 389092.4025 399449.198100001, 389091.3966 399447.898499999, 389090.9019 399447.3486, 389090.0527 399446.298900001, 389088.6016 399444.599400001, 389087.3483 399443.0999, 389086.2023 399441.6503, 389084.8995 399440.4506, 389083.3989 399438.7511, 389083.2505 399438.551200001, 389082.6486 399437.951300001, 389082.1539 399437.351500001, 389081.7005 399436.851600001, 389081.0986 399436.3018, 389080.3977 399435.652000001, 389079.6969 399435.152100001, 389075.9536 399432.652799999, 389073.6038 399431.1533, 389071.5013 399429.8037, 389068.2033 399429.9036, 389066.7109 399426.9045, 389068.3517 399425.354900001, 389066.1008 399422.9956, 389064.996 399421.696, 389063.8499 399420.3464, 389062.9512 399419.296700001, 389061.9041 399418.047, 389060.1973 399415.7477, 389059.2492 399414.448100001, 389058.301 399413.0984, 389057.4023 399411.898800001, 389056.6025 399410.699100001, 389055.1019 399408.5997, 389051.6472 399402.3015, 389050.4517 399399.952199999, 389048.9016 399397.003, 389046.997 399393.2041, 389046.5518 399392.204399999, 389046.0983 399391.1547, 389044.4987 399386.696, 389043.4021 399383.096999999, 389042.6518 399379.9979, 389042.05 399376.948799999, 389041.0523 399370.750600001, 389040.8462 399369.650900001, 389040.5988 399367.3016, 389040.5494 399366.4518, 389040.0464 399362.9528, 389039.7991 399356.1547, 389040.1041 399349.046800001, 389040.5988 399342.548599999, 389042.5034 399327.1031, 389043.3032 399323.2542, 389044.2019 399318.695499999, 389045.5541 399313.346999999, 389046.0488 399311.2476, 389046.8486 399310.947699999, 389048.9016 399304.249600001, 389051.8533 399297.4016, 389052.447 399296.2019, 389055.9511 399289.9037, 389060.7003 399282.345899999, 389062.9017 399278.9968, 389065.4989 399274.847999999, 389067.1974 399271.8989, 389068.4506 399269.4496, 389069.6462 399267.1502, 389071.6497 399262.8015, 389071.996 399262.001700001, 389074.148 399256.803200001, 389074.9477 399254.7038, 389075.2528 399253.854, 389076.4483 399250.1951, 389077.0502 399248.045700001, 389077.85 399244.1468, 389078.6003 399240.897700001, 389079.0538 399238.6984, 389079.499 399235.4493, 389079.8041 399232.1502, 389079.9525 399229.051100001, 389080.002 399224.802300001, 389079.9525 399220.4036, 389079.8041 399216.2048, 389079.2517 399211.496099999, 389078.4024 399206.147700001, 389077.6027 399199.9495, 389076.201 399191.7018, 389070.2481 399152.303099999, 389069.5472 399149.4539, 389069.0031 399146.0549, 389067.7993 399139.1469, 389066.8511 399139.296800001, 389065.9029 399139.3968, 389065.0537 399139.3968, 389063.8994 399139.296800001, 389062.8522 399139.096899999, 389061.7969 399138.946900001, 389060.8487 399138.797, 389060.8982 399140.0966, 389030.6965 399133.898399999, 389022.8472 399132.298800001, 389017.1993 399131.099199999, 389013.4478 399130.349400001, 389011.3536 399129.8495, 389008.5997 399129.249700001, 389005.9036 399128.649900001, 389003.1003 399128.0001, 389000.6515 399127.450200001, 389000.0001 399127.3003, 388997.5514 399126.6504, 388994.7975 399125.9506, 388992.1014 399125.3508, 388989.3475 399124.801000001, 388986.6019 399124.201099999, 388983.947 399123.6513, 388981.2014 399123.0515, 388978.4476 399122.501599999, 388975.7514 399121.901799999, 388973.047 399121.352, 388970.3014 399120.7521, 388967.5971 399120.202299999, 388964.9009 399119.6524, 388962.1471 399119.0526, 388959.4015 399118.4528, 388956.6971 399117.902899999, 388954.0009 399117.3531, 388951.2471 399116.7533, 388950.101 399116.5033, 388948.551 399116.203400001, 388945.8466 399115.603599999, 388943.101 399115.0538, 388940.3966 399114.4539, 388937.5521 399113.8541, 388934.9466 399113.304300001, 388932.2505 399112.704399999, 388929.8512 399112.1546, 388926.2481 399111.4048, 388903.4999 399105.3465, 388881.8979 399102.0975, 388873.1499 399100.597899999, 388863.5526 399098.998400001, 388833.1036 399093.0001, 388830.7538 399103.547, 388830.4982 399104.4968, 388829.4511 399108.8455, 388828.8986 399111.2049, 388826.4499 399121.252, 388824.603 399129.049699999, 388810.9986 399126.1006, 388809.5969 399125.8007, 388808.2035 399129.4496, 388807.1976 399133.3485, 388749.1029 399135.097999999, 388746.3491 399135.298, 388738.7966 399135.347899999, 388733.1982 399135.248, 388723.6504 399135.248, 388718.052 399135.198000001, 388706.1462 399135.298, 388705.7009 399135.298, 388696.2521 399135.298, 388599.1005 399135.8478, 388599.0511 399137.147399999, 388598.9521 399138.497, 388598.6471 399236.0491, 388500.0031 399236.399, 388489.9029 399236.6489, 388477.7003 399239.998, 388476.4965 399239.998, 388470.3539 399240.048, 388466.1984 399240.097999999, 388462.6778 399240.1479, 388462.4964 399240.1479, 388461.6966 399240.1479, 388447.0534 399240.2479, 388439.7482 399240.347899999, 388430.1015 399240.447899999, 388416.3982 399240.547800001, 388407.5513 399240.6478, 388398.3003 399240.697799999, 388397.2532 399240.697799999, 388388.6536 399240.797800001, 388380.1529 399240.797800001, 388375.5027 399233.6998, 388372.3036 399228.7512, 388369.3519 399224.102499999, 388365.6993 399218.5041, 388359.8536 399209.3968, 388357.85 399206.297599999, 388355.896 399203.3485, 388352.2517 399197.700099999, 388348.0961 399191.3519, 388344.996 399186.553300001, 388341.4012 399180.9549, 388336.8664 399173.926899999, 388335.8522 399172.3474, 388332.3481 399166.8489, 388328.0524 399160.300799999, 388324.5482 399154.8024, 388317.7461 399143.5956)))"
Seymour Grove Allotments,Allotments Or Community Growing Spaces,27870.0,0.0,0.0,0.0,0.0,0.0,30.0,"MULTIPOLYGON (((381352.1 395499.15, 381457 395524.05, 381487.6 395476.75, 381506.4 395430.15, 381410.3 395407.2, 381415.76 395382.41, 381286.2 395350.4, 381251.55 395420.9, 381244.8 395454.1, 381247 395474.85, 381352.1 395499.15)))"
