site,day_of_month,month,year,text,species,count,areaTextMatch,visitId
Chorlton Water Park,10,May,2016," Never kept a site list, it's all in old notebooks like we used to do! With full descriptions of stuff I found (inc crappy drawings!) & got accepted like Ferruginous Duck, Ring-necked Duck, Red-crested Pochard & the like! In the halcyon days when the aythya flock was over 1000 regularly. Never got Ring-necked Parakeet though!! Nor Lesser Spotted Woodpecker, but did have the Firecrest there one year. I never in all my walks had a Lesser Whitethroat though, even when birding mates such as Kevin McCabe & good birders like him joined me, so you did really well to get those the other day, but the habitat is perfect now for them & back in the day wasn't as good. The patch (I always have a defined patch rather than do sites) was from my house too (in West Didsbury) and had Ring Ouzel on it (got piccies!) and Wheatear was regular every year. How times have changed! As Joel says for him & Liam, for Shannon earlier this year & for my group today, we all saw Stock Dove over Barlow Tip, so that seems your best bet I'd say Plenty of Bullfinches about today too, that was always a feature when I was there though, so that's still good ",Stock Dove,X,"p today, we all saw Stock Dove over Barlow Tip, so",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62120418
Chorlton Water Park,10,May,2016,"PM me your site list Paul! I've had Stock Dove close to home on the Fallowfield Loop but Chorlton WP would be good. Missing Raven too but I do have Lesser Spotted Woodpecker (twice!) ",Stock Dove,X,list Paul! I've had Stock Dove close to home on th,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62120392
Chorlton Water Park,10,May,2016,"I have done it many times and came back to my bike with it being ok, I was just unlucky but when I do go back I will be on foot. Tim I have had stock doves several times when I was with Liam, I've seen them from kenworthy and Barlow tip. I would recommend just spending 15-20 minutes stood there sky watching. ",Stock Dove,X,oot. Tim I have had stock doves several times when,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62120368
Chorlton Water Park,10,May,2016," I know, I have seen them over in the past but as a patcher prob only got them about five times a year (I was unemployed so walked the site every day!), got at least half the group onto them and my wife (a very good birder) saw them too, so IDed by at least 3 good birders. Had them throughout the Mersey Valley before, Tim, my last GM Bird Report that I have, before I left the County, was 1999 (the year I moved to Cheshire) and included in the Stock Dove summary were 20 at Chorlton Ees, just along the river from Barlow Tip!! Hopefully you'll get it on your site list soon, just go every day, worked for me (I was unemployed & did Chorlton WP daily!!) ",Stock Dove,X,"and included in the Stock Dove summary were 20 at ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62120357
Chorlton Water Park,10,May,2016,"Stock Dove is an excellent bird and would be a site tick for me ",Stock Dove,X,Stock Dove is an excellent bir,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62120247
Chorlton Water Park,10,May,2016," Sorry to hear that Joel, I will add my comments on this later with relevant info from today! I had organised a bird ID walk for a Manchester University group today at Newchurch Common but given the awful waether in Cheshire we decided to switch venues from my new patch back to my old patch from when I lived in West Didsbury in the 1990s! We had fine weather for the whole session and with 8 students, 1 PhD student and 2 lecturers attending we had a great walk. Bird song was concentrated on as a few of them had visual ID skills but had had no practise on calls/song. Highlights included a Common Sandpiper from the bridge over the R.Mersey from the Water Park to Kenworthy Fields and on that stretch of the river at least 4 different Grey Wagtails. One Reed Warbler sang its little head off and gave stunning views allowing close approach and folk ended up with superb photos even just using phones! Warblers seen and heard included Common Whitethroat, Blackcap, Chiffchaff and Willow Warbler. At least 10 Swifts were seen but only one Swallow. Two Stock Doves flew over us on Barlow Tip as did a Buzzard. A group of 5 Ring-necked Parakeets were over the pond area and singles were seen in 4-5 other areas, part of the group or extra birds, hard to tell! Broods of Mallard and Canada Geese were seen and the 6 Mute Swan cygnets performed beautifully for the group, clambering onto mums back giving great phot opportunities at the very end of our session, a great way to end with mega-cuteness! All in all a very succesful trip with a great group, really eager to learn, hopefully I'll get a chance to take many of them to my new patch in the future An aside for Joel, one of the students came on his bike & I told him of your experience. He decided to risk it and returned to his locked bike with no problems at all, nothing removed and all intact. I appreciate your warnings as I could pass this on, but today showed that it will not always happen, but personally I wouldn't risk it either. ",Stock Dove,2,ly one Swallow. Two Stock Doves flew over us on Ba,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1483643272&direction=next&page=3&sort=newestFirst#comment-62119642
Chorlton Water Park,17,April,2016,"Stock Dove (2) Kenworthy ",Stock Dove,2,"Stock Dove (2) Kenworthy ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1462904583&direction=next&page=4&sort=newestFirst#comment-62002636
Chorlton Water Park,10,April,2016,"Stock Dove (2) Barlow Tip ",Stock Dove,2,"Stock Dove (2) Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1462904583&direction=next&page=4&sort=newestFirst#comment-61964994
Chorlton Water Park,12,March,2016," Great visit to the patch this morning 06.50 - 10.08 with the following highlights: CURLEW (1) flew east over Barlow Tip calling (07.28) Lapwing (1) flew west over Barlow Tip (07.40) Jack Snipe (1) Barlow Tip Goldeneye (2, 1m) Pochard (7,6m) Goosander (1) River Mersey Gadwall (1) Stock Dover (2) Barlow Tip Great Spotted Woodpecker (1) Barlow Tip ",Stock Dove,2," Mersey Gadwall (1) Stock Dover (2) Barlow Tip Gre",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1462904583&direction=next&page=4&sort=newestFirst#comment-61809779
Chorlton Water Park,7,February,2016,"1 stock dove over ",Stock Dove,1,"1 stock dove over ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1462904583&direction=next&page=4&sort=newestFirst#comment-61621870
Chorlton Water Park,14,October,2012,"2 Stock Doves seen in trees ",Stock Dove,2,"2 Stock Doves seen in trees ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1355829656&direction=next&page=10&sort=newestFirst#comment-51176060
Chorlton Water Park,16,July,2012,"Stock Dove (2) Barlow Tip ",Stock Dove,2,"Stock Dove (2) Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1355829656&direction=next&page=10&sort=newestFirst#comment-50037250
Chorlton Water Park,17,April,2011,"3 Stock Doves on pylon overlooking football pitches ",Stock Dove,3,3 Stock Doves on pylon overlooki,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1303474033&direction=next&page=14&sort=newestFirst#comment-42351498
Chorlton Water Park,16,March,2011,"2 Stock Dove Barlow Tip ",Stock Dove,2,"2 Stock Dove Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1303474033&direction=next&page=14&sort=newestFirst#comment-41754128
Chorlton Water Park,12,January,2011,"3 Stock Dove ",Stock Dove,3,"3 Stock Dove ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1295813434&direction=next&page=15&sort=newestFirst#comment-40463093
Chorlton Water Park,5,April,2010,"2 Stock Dove at Barlow Tip ",Stock Dove,2,"2 Stock Dove at Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1270929813&direction=next&page=18&sort=newestFirst#comment-35080499
Chorlton Water Park,4,April,2010," also 2 Stock Dove at Barlow Tip ",Stock Dove,2," also 2 Stock Dove at Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1270929813&direction=next&page=18&sort=newestFirst#comment-35064664
Chorlton Water Park,17,March,2010,"2 Stock Dove at Barlow Tip ",Stock Dove,2,"2 Stock Dove at Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1270929813&direction=next&page=18&sort=newestFirst#comment-34710314
Chorlton Water Park,1,March,2010,"2 Stock Dove landed on Barlow Tip ",Stock Dove,2,2 Stock Dove landed on Barlow Ti,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1267902098&direction=next&page=19&sort=newestFirst#comment-34370381
Chorlton Water Park,29,June,2009," 3 Stock Dove at Barlow Tip flew to Barlow golf course ",Stock Dove,3," 3 Stock Dove at Barlow Tip flew ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1258316188&direction=next&page=21&sort=newestFirst#comment-29018681
Chorlton Water Park,13,April,2009," 3 Stock Dove at Barlow Tip ",Stock Dove,3," 3 Stock Dove at Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1240786192&direction=next&page=22&sort=newestFirst#comment-26976115
Chorlton Water Park,1,December,2008,"1 Stock Dove at Kenworthy to add to the previous post (26th Nov) ",Stock Dove,1,1 Stock Dove at Kenworthy to add,https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1234112873&direction=next&page=23&sort=newestFirst#comment-22772687
Chorlton Water Park,26,January,2008,"2 Stock Dove reported on Barlow Tip ",Stock Dove,2,"2 Stock Dove reported on Barlow ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1207302877&direction=next&page=25&sort=newestFirst#comment-15162588
Chorlton Water Park,19,August,2007," 1 Stock Dove - C.E.G.B. station Kenworthy ",Stock Dove,1," 1 Stock Dove - C.E.G.B. station ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1189379078&direction=next&page=27&sort=newestFirst#comment-13137844
Chorlton Water Park,6,July,2007,"1 Stock Dove - Barlow Tip ",Stock Dove,1,"1 Stock Dove - Barlow Tip ",https://manchesterbirding.activeboard.com/t8967729/chorlton-wp/?ts=1189379078&direction=next&page=27&sort=newestFirst#comment-12533551
Pomona,15,June,2018," Fifty minutes or so after work at the north end of Pomona (where I rarely look) hoping for the lesser whitethroat mentioned below; no joy there, but there was a pair of stock dove, which I've certainly never had round here before. Other birds around: ",Stock Dove,2,"there was a pair of stock dove, which I've certain",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=first&direction=next&page=1&sort=newestFirst#comment-64720040
Pomona,30,March,2018,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=first&direction=next&page=1&sort=newestFirst#comment-64512369
Pomona,28,August,2017," Afternoon at Pomona: Sparrowhawk 2 Stock dove 2 Kingfishers 1 Sand martin with swallows and house martins Numerous chiffchaffs ",Stock Dove,2,mona: Sparrowhawk 2 Stock dove 2 Kingfishers 1 San,https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1516206144&direction=next&page=2&sort=newestFirst#comment-63882322
Pomona,23,June,2016," 3 Stock doves this evening at Pomona. Unusual sighting here ",Stock Dove,3," 3 Stock doves this evening at Po",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1485083472&direction=next&page=3&sort=newestFirst#comment-62316726
Pomona,14,August,2015," Stock Dove sightings on Pomona, 1 on 12th August and 2 on 13th, a delight to see this species in an urban environment ",Stock Dove,X," Stock Dove sightings on Pomona",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1446296187&direction=next&page=8&sort=newestFirst#comment-60703266
Pomona,21,September,2014,"1 Stock Dove ",Stock Dove,1,"1 Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1418673258&direction=next&page=10&sort=newestFirst#comment-58606216
Pomona,16,June,2014,"2 stock doves ",Stock Dove,2,"2 stock doves ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1418673258&direction=next&page=10&sort=newestFirst#comment-57847999
Pomona,21,July,2013,"2 Stock Dove ",Stock Dove,2,"2 Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1374746492&direction=next&page=13&sort=newestFirst#comment-54417528
Pomona,17,April,2013,"2 Stock Dove ",Stock Dove,2,"2 Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1374746492&direction=next&page=13&sort=newestFirst#comment-53379572
Pomona,8,April,2013,"2 Stock Dove ",Stock Dove,2,"2 Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1366214087&direction=next&page=14&sort=newestFirst#comment-53268853
Pomona,27,January,2013,"4 Stock Dove (Weaste ETW) ",Stock Dove,4,"4 Stock Dove (Weaste ETW) ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1362931598&direction=next&page=15&sort=newestFirst#comment-52417269
Pomona,9,September,2012,"Stock Dove 1 ",Stock Dove,1,"Stock Dove 1 ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1348889640&direction=next&page=17&sort=newestFirst#comment-50734589
Pomona,27,August,2012,"Stock Dove ",Stock Dove,X,"Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1348889640&direction=next&page=17&sort=newestFirst#comment-50577130
Pomona,12,June,2012,"Stock Dove (1 Pomona, 1 Weaste ETW) ",Stock Dove,1,"Stock Dove (1 Pomona, 1 Weaste",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1341342077&direction=next&page=19&sort=newestFirst#comment-49560831
Salford Quays,27,January,2013,"4 Stock Dove (Weaste ETW) ",Stock Dove,4,"4 Stock Dove (Weaste ETW) ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1362931598&direction=next&page=15&sort=newestFirst#comment-52417269
Salford Quays,8,July,2012,"3 Stock Dove ",Stock Dove,3,"3 Stock Dove ",https://manchesterbirding.activeboard.com/t21501567/salford-quays/?ts=1345280093&direction=next&page=18&sort=newestFirst#comment-49919642
Castle Irwell,16,July,2018," At least 3 little grebes on the Castle Irwell basin yesterday, also one stock dove. ",Stock Dove,1,"yesterday, also one stock dove. ",https://manchesterbirding.activeboard.com/t13384105/river-irwell/?page=1#comment-64794167
Castle Irwell,25,March,2018," Around kersal dale / castle Irwell yesterday: 2 Kingfishers showing well 3 Chiffchaffs singing 1 Sparrowhawk 2 Stock doves 22 Meadow pipits 49 Lesser black-backed gulls No waders yet .... ",Stock Dove,2,ing 1 Sparrowhawk 2 Stock doves 22 Meadow pipits 4,https://manchesterbirding.activeboard.com/t13384105/river-irwell/?page=1#comment-64495885
The Cliff,25,March,2018," Around kersal dale / castle Irwell yesterday: 2 Kingfishers showing well 3 Chiffchaffs singing 1 Sparrowhawk 2 Stock doves 22 Meadow pipits 49 Lesser black-backed gulls No waders yet .... ",Stock Dove,2,ing 1 Sparrowhawk 2 Stock doves 22 Meadow pipits 4,https://manchesterbirding.activeboard.com/t13384105/river-irwell/?page=1#comment-64495885
Northern Cemetery,18,January,2012,"In surrounding woodland/scrubland - 2 singing Song Thrush, excellent views of a singing Willow Wit near the Thirteen Arches, 8 Lesser Redpoll, 1 male Siskin, 2 Stock Dove, 1 Reed Bunting, 1 Pheasant, 4 Bullfinch and c15 Redwing. Plenty of vocal Dunnocks, Wrens and Robins. ",Stock Dove,2,"l, 1 male Siskin, 2 Stock Dove, 1 Reed Bunting, 1 ",https://manchesterbirding.activeboard.com/t13384105/river-irwell/?sort=newestFirst&page=4#comment-47360955
Weaste Cemetery,14,April,2013,"2 Stock doves, first time that I have seen them at this site. ",Stock Dove,2,"2 Stock doves, first time that I",https://manchesterbirding.activeboard.com/t14639345/salford-birds/?sort=newestFirst&page=3#comment-53344921
The Meadows,10,April,2013,"1 Stock Dove ",Stock Dove,1,"1 Stock Dove ",https://manchesterbirding.activeboard.com/t14639345/salford-birds/?sort=newestFirst&page=3#comment-53300211
Weaste Water Treatment Works,23,April,2012,"1-2 Stock Doves ",Stock Dove,1,"1-2 Stock Doves ",https://manchesterbirding.activeboard.com/t14639345/salford-birds/?sort=newestFirst&page=5#comment-48842521
Chorlton EES,5,March,2019,"1 stock dove over hardy farm ",Stock Dove,1,"1 stock dove over hardy farm ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-65363161
Chorlton EES,6,January,2019,"2 stock dove over ",Stock Dove,2,"2 stock dove over ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-65208289
Chorlton EES,9,September,2018,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64932301
Chorlton EES,27,July,2018,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64824105
Chorlton EES,18,May,2018,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64647721
Chorlton EES,19,April,2018,"Stock Dove 2 ",Stock Dove,2,"Stock Dove 2 ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64567424
Chorlton EES,8,April,2018,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64537514
Chorlton EES,11,March,2018,"2+ stock dove ",Stock Dove,2,"2+ stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64453775
Chorlton EES,4,February,2018,"2 stock dove ",Stock Dove,2,"2 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?page=1#comment-64347386
Chorlton EES,22,July,2017,"2 stock doves ",Stock Dove,2,"2 stock doves ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63770395
Chorlton EES,25,June,2017,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63688115
Chorlton EES,20,May,2017,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63575819
Chorlton EES,6,May,2017," Enjoyable early walk from 05:45 from hardy farm through chorlton ees to broad ees dole, past sale ees and back, for dawn chorus day. Highlights were probably a total of 7 warbler species, plus others as follows. Blackcap, Willow warbler - hardy farm, Chiffchaff, Sedge warbler x4 - chorlton ees, Reed warbler x 1 - chorlton ees, Whitethroat x several, Lesser whitethroat x1 - near small pond with orange water on way to sale water park next to Mersey. Reed bunting x several, Swift x3 chorlton ees, Swallow x4 river Mersey, Willow tit - chorlton ees, Stock dove x 2, Bullfinch x several, Kestrel x2, Grey wagtail x1 River mersey, Plus all the usuals. ",Stock Dove,2,"tit - chorlton ees, Stock dove x 2, Bullfinch x se",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63526947
Chorlton EES,4,April,2017,"2 stock dove ",Stock Dove,2,"2 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63417714
Chorlton EES,26,March,2017,"2 stock dove over ",Stock Dove,2,"2 stock dove over ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=2#comment-63384428
Chorlton EES,26,February,2017,"2 stock dove ",Stock Dove,2,"2 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=3#comment-63279990
Chorlton EES,1,February,2017,"Stock dove 2 ",Stock Dove,2,"Stock dove 2 ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=3#comment-63185172
Chorlton EES,22,January,2017,"Also two probable stock dove over, but not 100% confirmed, unfortunately. ",Stock Dove,2,"Also two probable stock dove over, but not 100% ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=3#comment-63147221
Chorlton EES,14,May,2016,"2 stock dove ",Stock Dove,2,"2 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=4#comment-62140941
Chorlton EES,24,April,2016,"1 stock dove (around the hay crop field) ",Stock Dove,1,1 stock dove (around the hay cro,https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=4#comment-62038004
Chorlton EES,2,March,2016,"Stock Dove (2) - Hardy Farm - unusual for this site ",Stock Dove,2,"Stock Dove (2) - Hardy Farm - ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=5#comment-61757472
Chorlton EES,6,September,2015,"Turn moss: about 50 swallows feeding on turn moss then taking food to their young which were sat on some rugby posts (sorry I don't know the correct term for them) but now sigh not any stock doves. ",Stock Dove,X,"ut now sigh not any stock doves. ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=6#comment-60823811
Chorlton EES,20,July,2015,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=6#comment-60569803
Chorlton EES,19,June,2015,"Whilst on turn moss playing fields walking the dog I spotted what looked like a stock dove so I took some photos and I was amazed to find that it was. It was with a pair of wood pigeons. Defiantly a stock dove as well because it later was joined by a juv. Wood pigeon which gave a good comparison ",Stock Dove,1," what looked like a stock dove so I took some phot",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=6#comment-60409779
Chorlton EES,29,April,2013,"2 Stock Dove ",Stock Dove,2,"2 Stock Dove ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=8#comment-53524197
Chorlton EES,19,April,2013,"4 Stock Dove at Hardy Farm ",Stock Dove,4,"4 Stock Dove at Hardy Farm ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=8#comment-53412386
Chorlton EES,28,March,2013,"1 Stock Dove (Hardy Farm) ",Stock Dove,1,"1 Stock Dove (Hardy Farm) ",https://manchesterbirding.activeboard.com/t9856511/chorlton-ees/?sort=newestFirst&page=8#comment-53150299
Turn Moss,15,March,2018,"Stock Dove 2 ",Stock Dove,2,"Stock Dove 2 ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?page=1#comment-64466103
Turn Moss,20,February,2018,"Stock Dove 3 ",Stock Dove,3,"Stock Dove 3 ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?page=1#comment-64396651
Turn Moss,23,August,2016,"Stock Dove 1 ",Stock Dove,1,"Stock Dove 1 ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?page=1#comment-62560015
Turn Moss,8,April,2016,"1 stock dove ",Stock Dove,1,"1 stock dove ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?page=1#comment-61957774
Turn Moss,29,March,2013,"3 stock doves ",Stock Dove,3,"3 stock doves ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?page=1#comment-53167790
Turn Moss,12,April,2012,"2 stock doves ",Stock Dove,2,"2 stock doves ",https://manchesterbirding.activeboard.com/t10024426/turn-moss-playing-fields-stretford/?sort=newestFirst&page=2#comment-48702799
Heaton Park,12,July,2016," Birds seen today included Treecreeper, 2 Nuthatch, Stock Dove and a flock of 44 juv Starling feeding nr the hall ",Stock Dove,X,"reeper, 2 Nuthatch, Stock Dove and a flock of 44 j",https://manchesterbirding.activeboard.com/t14953348/heaton-park-not-the-reservoir/?page=1#comment-62389745
Heaton Park,27,September,2015,"Stock dove ",Stock Dove,X,"Stock dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park-not-the-reservoir/?page=1#comment-60931787
Heaton Park,22,March,2014,"3 Stock Dove ",Stock Dove,3,"3 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=2#comment-57100036
Heaton Park,14,March,2014,"2 Stock doves seen in the woods near the old swimming pool. ",Stock Dove,2,"2 Stock doves seen in the woods ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=2#comment-57023536
Heaton Park,24,August,2013,"Stock Dove ",Stock Dove,X,"Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=2#comment-54758571
Heaton Park,17,July,2013,"Apart from still hearing a Stock Dove near Tram Depot,the usuals present but nothing much to report. ",Stock Dove,1,"rom still hearing a Stock Dove near Tram Depot,the",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=2#comment-54384682
Heaton Park,15,July,2013," Stock Doves heard near the Dell and also near the Tram Depot.Otherwise things much the same as previous reports.Unfortunately,it looks as if the pair of Mute Swans on the boating lake have lost one of their 4 cygnets. ",Stock Dove,X," Stock Doves heard near the Del",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=2#comment-54361491
Heaton Park,22,May,2013,"Stock Dove heard near the Tram depot. ",Stock Dove,X,Stock Dove heard near the Tram,https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-53800316
Heaton Park,7,May,2013,"Stock Dove heard in the wooded area near Tram station. ",Stock Dove,X,Stock Dove heard in the wooded,https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-53613643
Heaton Park,18,March,2013," Dipper on stream behind Tram Building seen at 11am.Stock Dove heard in same area ",Stock Dove,X,"ilding seen at 11am.Stock Dove heard in same area ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-53028923
Heaton Park,16,March,2013,"8 Stock Dove ",Stock Dove,8,"8 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-53008117
Heaton Park,23,February,2013,"2 Stock Dove ",Stock Dove,2,"2 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-52753291
Heaton Park,1,January,2013,"3 Stock Dove (north end if park) ",Stock Dove,3,3 Stock Dove (north end if park),https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=3#comment-52096738
Heaton Park,7,May,2012,"9 Stock Dove ",Stock Dove,9,"9 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=4#comment-49051520
Heaton Park,30,April,2012,"3 Stock Dove ",Stock Dove,3,"3 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=4#comment-48945535
Heaton Park,20,April,2012,"3 Stock Dove ",Stock Dove,3,"3 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=4#comment-48815674
Heaton Park,8,April,2012,"Several Nuthatch calling and 2 Stock Dove ",Stock Dove,2,"hatch calling and 2 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=4#comment-48637015
Heaton Park,18,March,2012,"7 Stock Dove ",Stock Dove,7,"7 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=5#comment-48326497
Heaton Park,4,March,2012,"5 Stock dove ",Stock Dove,5,"5 Stock dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=5#comment-48111874
Heaton Park,28,January,2012,"3 Stock dove ",Stock Dove,3,"3 Stock dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=5#comment-47554081
Heaton Park,7,December,2011,"10 Stock Dove ",Stock Dove,10,"10 Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=5#comment-46616956
Heaton Park,6,August,2011,"Stock Dove ",Stock Dove,X,"Stock Dove ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=6#comment-44297917
Heaton Park,13,May,2011,"Stock dove 3 ",Stock Dove,3,"Stock dove 3 ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=6#comment-42836848
Heaton Park,21,March,2011,"Stock Dove 1 ",Stock Dove,1,"Stock Dove 1 ",https://manchesterbirding.activeboard.com/t14953348/heaton-park/?sort=newestFirst&page=6#comment-41835593
